Protein,Log2Intensity,Run,Condition,BioReplicate,Intensity
sp|O14455|RL36B_YEAST,29.81242702,JD_06232014_sample2_B.raw,Condition2,2,942833003.8
sp|O14455|RL36B_YEAST,29.78995927,JD_06232014_sample2_C.raw,Condition2,2,928263576.7
sp|O14455|RL36B_YEAST,29.61641864,JD_06232014_sample3_A.raw,Condition3,3,823057875.4
sp|O14455|RL36B_YEAST,29.47862289,JD_06232014_sample3_B.raw,Condition3,3,748082888.3
sp|O14455|RL36B_YEAST,29.83325952,JD_06232014_sample3_C.raw,Condition3,3,956546273.1
sp|O14455|RL36B_YEAST,29.23890666,JD_06232014_sample4_B.raw,Condition4,4,633560284.4
sp|O14455|RL36B_YEAST,29.63710354,JD_06232014_sample4_C.raw,Condition4,4,834943619.3
sp|O14455|RL36B_YEAST,29.2326587,JD_06232014_sample4-A.raw,Condition4,4,630822422.3
sp|O14467|MBF1_YEAST,28.30613453,JD_06232014_sample1_B.raw,Condition1,1,331891060.5
sp|O14467|MBF1_YEAST,28.59350295,JD_06232014_sample1_C.raw,Condition1,1,405043874.8
sp|O14467|MBF1_YEAST,28.51363479,JD_06232014_sample1-A.raw,Condition1,1,383229874.7
sp|O14467|MBF1_YEAST,28.6485597,JD_06232014_sample2_A.raw,Condition2,2,420800068.9
sp|O14467|MBF1_YEAST,28.47637302,JD_06232014_sample2_B.raw,Condition2,2,373458584.5
sp|O14467|MBF1_YEAST,28.54971584,JD_06232014_sample2_C.raw,Condition2,2,392935109.4
sp|O14467|MBF1_YEAST,28.53772941,JD_06232014_sample3_A.raw,Condition3,3,389683987.5
sp|O14467|MBF1_YEAST,28.38149423,JD_06232014_sample3_B.raw,Condition3,3,349688286.5
sp|O14467|MBF1_YEAST,28.44714909,JD_06232014_sample3_C.raw,Condition3,3,365969731.3
sp|O14467|MBF1_YEAST,28.50084606,JD_06232014_sample4_B.raw,Condition4,4,379847756.7
sp|O14467|MBF1_YEAST,28.48558389,JD_06232014_sample4_C.raw,Condition4,4,375850554.1
sp|O14467|MBF1_YEAST,27.82579993,JD_06232014_sample4-A.raw,Condition4,4,237903281.4
sp|O14468|YO304_YEAST,22.7367055,JD_06232014_sample1_B.raw,Condition1,1,6989246.507
sp|O14468|YO304_YEAST,22.16058066,JD_06232014_sample1_C.raw,Condition1,1,4688128.424
sp|O14468|YO304_YEAST,22.18528332,JD_06232014_sample1-A.raw,Condition1,1,4769092.452
sp|O14468|YO304_YEAST,20.64439171,JD_06232014_sample2_A.raw,Condition2,2,1639008.278
sp|O14468|YO304_YEAST,22.40271763,JD_06232014_sample2_B.raw,Condition2,2,5544852.413
sp|O14468|YO304_YEAST,22.16424162,JD_06232014_sample2_C.raw,Condition2,2,4700040.051
sp|O14468|YO304_YEAST,21.37690267,JD_06232014_sample3_A.raw,Condition3,3,2723258.815
sp|O14468|YO304_YEAST,22.23831103,JD_06232014_sample3_B.raw,Condition3,3,4947646.618
sp|O14468|YO304_YEAST,21.85477395,JD_06232014_sample3_C.raw,Condition3,3,3792647.74
sp|O14468|YO304_YEAST,22.61983846,JD_06232014_sample4_B.raw,Condition4,4,6445399.982
sp|O14468|YO304_YEAST,22.0007104,JD_06232014_sample4_C.raw,Condition4,4,4196369.833
sp|O14468|YO304_YEAST,21.82901835,JD_06232014_sample4-A.raw,Condition4,4,3725540.588
sp|O43137|YB085_YEAST,25.73151314,JD_06232014_sample1_B.raw,Condition1,1,55713095.47
sp|O43137|YB085_YEAST,25.70538887,JD_06232014_sample1_C.raw,Condition1,1,54713323.97
sp|O43137|YB085_YEAST,25.74577826,JD_06232014_sample1-A.raw,Condition1,1,56266709.47
sp|O43137|YB085_YEAST,25.53045336,JD_06232014_sample2_A.raw,Condition2,2,48465451.65
sp|O43137|YB085_YEAST,25.70604793,JD_06232014_sample2_B.raw,Condition2,2,54738324.13
sp|O43137|YB085_YEAST,25.62392218,JD_06232014_sample2_C.raw,Condition2,2,51709362.4
sp|O43137|YB085_YEAST,25.61623493,JD_06232014_sample3_A.raw,Condition3,3,51434567.21
sp|O43137|YB085_YEAST,25.72117139,JD_06232014_sample3_B.raw,Condition3,3,55315152.24
sp|O43137|YB085_YEAST,25.53685872,JD_06232014_sample3_C.raw,Condition3,3,48681109.72
sp|O43137|YB085_YEAST,25.51293814,JD_06232014_sample4_B.raw,Condition4,4,47880608.12
sp|O43137|YB085_YEAST,25.74364654,JD_06232014_sample4_C.raw,Condition4,4,56183631.42
sp|O43137|YB085_YEAST,24.49976664,JD_06232014_sample4-A.raw,Condition4,4,23722728.88
sp|O60200|MDM35_YEAST,24.46523279,JD_06232014_sample1_B.raw,Condition1,1,23161619.39
sp|O60200|MDM35_YEAST,23.74879246,JD_06232014_sample1_C.raw,Condition1,1,14096097.38
sp|O60200|MDM35_YEAST,22.66187389,JD_06232014_sample1-A.raw,Condition1,1,6635960.601
sp|O60200|MDM35_YEAST,27.17755263,JD_06232014_sample2_A.raw,Condition2,2,151795378.8
sp|O60200|MDM35_YEAST,24.14461524,JD_06232014_sample2_B.raw,Condition2,2,18546135.18
sp|O60200|MDM35_YEAST,24.11182397,JD_06232014_sample2_C.raw,Condition2,2,18129351.32
sp|O60200|MDM35_YEAST,24.99481446,JD_06232014_sample3_A.raw,Condition3,3,33434042.37
sp|O60200|MDM35_YEAST,22.03000424,JD_06232014_sample3_B.raw,Condition3,3,4282447.829
sp|O60200|MDM35_YEAST,24.19761088,JD_06232014_sample3_C.raw,Condition3,3,19240072.24
sp|O60200|MDM35_YEAST,26.92556559,JD_06232014_sample4_B.raw,Condition4,4,127468505.2
sp|O60200|MDM35_YEAST,26.73635313,JD_06232014_sample4_C.raw,Condition4,4,111800634.1
sp|O60200|MDM35_YEAST,23.051945,JD_06232014_sample4-A.raw,Condition4,4,8696147.619
sp|O74700|TIM9_YEAST,26.54785888,JD_06232014_sample1_B.raw,Condition1,1,98107417.43
sp|O74700|TIM9_YEAST,26.5769767,JD_06232014_sample1_C.raw,Condition1,1,100107630.2
sp|O74700|TIM9_YEAST,26.59521968,JD_06232014_sample1-A.raw,Condition1,1,101381535.6
sp|O74700|TIM9_YEAST,26.63176043,JD_06232014_sample2_A.raw,Condition2,2,103982134.2
sp|O74700|TIM9_YEAST,26.64748339,JD_06232014_sample2_B.raw,Condition2,2,105121562.9
sp|O74700|TIM9_YEAST,26.31170257,JD_06232014_sample2_C.raw,Condition2,2,83293614.88
sp|O74700|TIM9_YEAST,26.30613902,JD_06232014_sample3_A.raw,Condition3,3,82973023.36
sp|O74700|TIM9_YEAST,26.29922016,JD_06232014_sample3_B.raw,Condition3,3,82576054.95
sp|O74700|TIM9_YEAST,26.15426623,JD_06232014_sample3_C.raw,Condition3,3,74682466
sp|O74700|TIM9_YEAST,26.38962664,JD_06232014_sample4_B.raw,Condition4,4,87916257.63
sp|O74700|TIM9_YEAST,26.03208706,JD_06232014_sample4_C.raw,Condition4,4,68618157.88
sp|O74700|TIM9_YEAST,26.5021272,JD_06232014_sample4-A.raw,Condition4,4,95046304.59
sp|P00128|QCR7_YEAST,24.87409119,JD_06232014_sample1_B.raw,Condition1,1,30750172.97
sp|P00128|QCR7_YEAST,24.88439213,JD_06232014_sample1_C.raw,Condition1,1,30970516.98
sp|P00128|QCR7_YEAST,24.98015524,JD_06232014_sample1-A.raw,Condition1,1,33096039.3
sp|P00128|QCR7_YEAST,24.8530097,JD_06232014_sample2_A.raw,Condition2,2,30304100.82
sp|P00128|QCR7_YEAST,24.93601886,JD_06232014_sample2_B.raw,Condition2,2,32098863.01
sp|P00128|QCR7_YEAST,25.02003298,JD_06232014_sample2_C.raw,Condition2,2,34023612.19
sp|P00128|QCR7_YEAST,25.10404219,JD_06232014_sample3_A.raw,Condition3,3,36063652.66
sp|P00128|QCR7_YEAST,25.0921678,JD_06232014_sample3_B.raw,Condition3,3,35768041.77
sp|P00128|QCR7_YEAST,25.14059397,JD_06232014_sample3_C.raw,Condition3,3,36989025.85
sp|P00128|QCR7_YEAST,24.93279608,JD_06232014_sample4_B.raw,Condition4,4,32027238.64
sp|P00128|QCR7_YEAST,25.00541094,JD_06232014_sample4_C.raw,Condition4,4,33680516.81
sp|P00128|QCR7_YEAST,24.98528587,JD_06232014_sample4-A.raw,Condition4,4,33213947.67
sp|P00330|ADH1_YEAST,28.97880772,JD_06232014_sample1_B.raw,Condition1,1,529042256.8
sp|P00330|ADH1_YEAST,29.00682484,JD_06232014_sample1_C.raw,Condition1,1,539416660.3
sp|P00330|ADH1_YEAST,29.02309938,JD_06232014_sample1-A.raw,Condition1,1,545536082.3
sp|P00330|ADH1_YEAST,29.16920397,JD_06232014_sample2_A.raw,Condition2,2,603677993.9
sp|P00330|ADH1_YEAST,29.04590469,JD_06232014_sample2_B.raw,Condition2,2,554228127.6
sp|P00330|ADH1_YEAST,28.98646431,JD_06232014_sample2_C.raw,Condition2,2,531857423.7
sp|P00330|ADH1_YEAST,29.1343821,JD_06232014_sample3_A.raw,Condition3,3,589281649.6
sp|P00330|ADH1_YEAST,28.97625053,JD_06232014_sample3_B.raw,Condition3,3,528105355.2
sp|P00330|ADH1_YEAST,29.02539036,JD_06232014_sample3_C.raw,Condition3,3,546403074.3
sp|P00330|ADH1_YEAST,29.02245335,JD_06232014_sample4_B.raw,Condition4,4,545291849.2
sp|P00330|ADH1_YEAST,29.01528673,JD_06232014_sample4_C.raw,Condition4,4,542589816.5
sp|P00330|ADH1_YEAST,29.13641951,JD_06232014_sample4-A.raw,Condition4,4,590114435.8
sp|P00358|G3P2_YEAST,27.32396267,JD_06232014_sample1_B.raw,Condition1,1,168008929.3
sp|P00358|G3P2_YEAST,28.10214457,JD_06232014_sample1_C.raw,Condition1,1,288129986
sp|P00358|G3P2_YEAST,26.98579394,JD_06232014_sample1-A.raw,Condition1,1,132902586.4
sp|P00358|G3P2_YEAST,27.33931255,JD_06232014_sample2_A.raw,Condition2,2,169806041.7
sp|P00358|G3P2_YEAST,27.85847137,JD_06232014_sample2_B.raw,Condition2,2,243352333.9
sp|P00358|G3P2_YEAST,28.42155896,JD_06232014_sample2_C.raw,Condition2,2,359535493.4
sp|P00358|G3P2_YEAST,28.17384517,JD_06232014_sample3_A.raw,Condition3,3,302811587
sp|P00358|G3P2_YEAST,28.54919235,JD_06232014_sample3_B.raw,Condition3,3,392792556.6
sp|P00358|G3P2_YEAST,28.92118038,JD_06232014_sample3_C.raw,Condition3,3,508326562.6
sp|P00358|G3P2_YEAST,27.35289562,JD_06232014_sample4_B.raw,Condition4,4,171412326.7
sp|P00358|G3P2_YEAST,28.16538743,JD_06232014_sample4_C.raw,Condition4,4,301041560.1
sp|P00358|G3P2_YEAST,27.53071059,JD_06232014_sample4-A.raw,Condition4,4,193896374.9
sp|P00359|G3P3_YEAST,25.23014402,JD_06232014_sample1_B.raw,Condition1,1,39357739.32
sp|P00359|G3P3_YEAST,25.36604098,JD_06232014_sample1_C.raw,Condition1,1,43245329.08
sp|P00359|G3P3_YEAST,24.92922854,JD_06232014_sample1-A.raw,Condition1,1,31948138.56
sp|P00359|G3P3_YEAST,25.00094181,JD_06232014_sample2_A.raw,Condition2,2,33576343.92
sp|P00359|G3P3_YEAST,25.47937385,JD_06232014_sample2_B.raw,Condition2,2,46779524.13
sp|P00359|G3P3_YEAST,25.73180306,JD_06232014_sample2_C.raw,Condition2,2,55724292.55
sp|P00359|G3P3_YEAST,26.11459311,JD_06232014_sample3_A.raw,Condition3,3,72656730.44
sp|P00359|G3P3_YEAST,26.7086868,JD_06232014_sample3_B.raw,Condition3,3,109677078
sp|P00359|G3P3_YEAST,26.70096457,JD_06232014_sample3_C.raw,Condition3,3,109091584.3
sp|P00359|G3P3_YEAST,25.65988723,JD_06232014_sample4_B.raw,Condition4,4,53014630.84
sp|P00359|G3P3_YEAST,26.25345913,JD_06232014_sample4_C.raw,Condition4,4,79997918.69
sp|P00359|G3P3_YEAST,25.69322239,JD_06232014_sample4-A.raw,Condition4,4,54253857.79
sp|P00360|G3P1_YEAST,28.79574989,JD_06232014_sample1_B.raw,Condition1,1,465998441.8
sp|P00360|G3P1_YEAST,28.63806223,JD_06232014_sample1_C.raw,Condition1,1,417749317.4
sp|P00360|G3P1_YEAST,28.72873361,JD_06232014_sample1-A.raw,Condition1,1,444846885.2
sp|P00360|G3P1_YEAST,28.81544804,JD_06232014_sample2_A.raw,Condition2,2,472404687.7
sp|P00360|G3P1_YEAST,28.73110147,JD_06232014_sample2_B.raw,Condition2,2,445577601
sp|P00360|G3P1_YEAST,28.67036631,JD_06232014_sample2_C.raw,Condition2,2,427208855
sp|P00360|G3P1_YEAST,28.64782045,JD_06232014_sample3_A.raw,Condition3,3,420584502.4
sp|P00360|G3P1_YEAST,28.67417683,JD_06232014_sample3_B.raw,Condition3,3,428338712.4
sp|P00360|G3P1_YEAST,28.68676427,JD_06232014_sample3_C.raw,Condition3,3,432092296.7
sp|P00360|G3P1_YEAST,28.74428896,JD_06232014_sample4_B.raw,Condition4,4,449669240.7
sp|P00360|G3P1_YEAST,28.68027642,JD_06232014_sample4_C.raw,Condition4,4,430153525.2
sp|P00360|G3P1_YEAST,28.8534608,JD_06232014_sample4-A.raw,Condition4,4,485017244
sp|P00410|COX2_YEAST,24.14224478,JD_06232014_sample1_B.raw,Condition1,1,18515687.46
sp|P00410|COX2_YEAST,24.82527893,JD_06232014_sample1_C.raw,Condition1,1,29727172.87
sp|P00410|COX2_YEAST,24.61088938,JD_06232014_sample1-A.raw,Condition1,1,25622170.88
sp|P00410|COX2_YEAST,24.68269628,JD_06232014_sample2_A.raw,Condition2,2,26929727.21
sp|P00410|COX2_YEAST,24.20216408,JD_06232014_sample2_B.raw,Condition2,2,19300890.55
sp|P00410|COX2_YEAST,23.65670534,JD_06232014_sample2_C.raw,Condition2,2,13224458.74
sp|P00410|COX2_YEAST,23.82468412,JD_06232014_sample3_A.raw,Condition3,3,14857459.58
sp|P00410|COX2_YEAST,24.36184902,JD_06232014_sample3_B.raw,Condition3,3,21559927.93
sp|P00410|COX2_YEAST,25.05900234,JD_06232014_sample3_C.raw,Condition3,3,34955165.75
sp|P00410|COX2_YEAST,24.42403206,JD_06232014_sample4_B.raw,Condition4,4,22509521.61
sp|P00410|COX2_YEAST,24.83809255,JD_06232014_sample4_C.raw,Condition4,4,29992377.43
sp|P00410|COX2_YEAST,24.71589205,JD_06232014_sample4-A.raw,Condition4,4,27556552.06
sp|P00425|COX5B_YEAST,24.77025104,JD_06232014_sample1_B.raw,Condition1,1,28614658.23
sp|P00425|COX5B_YEAST,24.8675225,JD_06232014_sample1_C.raw,Condition1,1,30610483.56
sp|P00425|COX5B_YEAST,24.92090962,JD_06232014_sample1-A.raw,Condition1,1,31764448.16
sp|P00425|COX5B_YEAST,24.69250128,JD_06232014_sample2_A.raw,Condition2,2,27113373.28
sp|P00425|COX5B_YEAST,24.97926401,JD_06232014_sample2_B.raw,Condition2,2,33075600.42
sp|P00425|COX5B_YEAST,24.77527699,JD_06232014_sample2_C.raw,Condition2,2,28714517.62
sp|P00425|COX5B_YEAST,24.91757291,JD_06232014_sample3_A.raw,Condition3,3,31691067.25
sp|P00425|COX5B_YEAST,24.86125492,JD_06232014_sample3_B.raw,Condition3,3,30477789.19
sp|P00425|COX5B_YEAST,24.88281696,JD_06232014_sample3_C.raw,Condition3,3,30936721.06
sp|P00425|COX5B_YEAST,24.89982762,JD_06232014_sample4_B.raw,Condition4,4,31303651.54
sp|P00425|COX5B_YEAST,24.85971743,JD_06232014_sample4_C.raw,Condition4,4,30445326.1
sp|P00425|COX5B_YEAST,24.58133066,JD_06232014_sample4-A.raw,Condition4,4,25102551.23
sp|P00427|COX6_YEAST,25.9823376,JD_06232014_sample1_B.raw,Condition1,1,66292282.91
sp|P00427|COX6_YEAST,26.04332377,JD_06232014_sample1_C.raw,Condition1,1,69154690.43
sp|P00427|COX6_YEAST,26.02204244,JD_06232014_sample1-A.raw,Condition1,1,68142070.09
sp|P00427|COX6_YEAST,26.26020882,JD_06232014_sample2_A.raw,Condition2,2,80373068.13
sp|P00427|COX6_YEAST,25.95843702,JD_06232014_sample2_B.raw,Condition2,2,65203090.9
sp|P00427|COX6_YEAST,25.97542822,JD_06232014_sample2_C.raw,Condition2,2,65975553.81
sp|P00427|COX6_YEAST,26.25577158,JD_06232014_sample3_A.raw,Condition3,3,80126247.63
sp|P00427|COX6_YEAST,25.99491374,JD_06232014_sample3_B.raw,Condition3,3,66872686.47
sp|P00427|COX6_YEAST,25.89182319,JD_06232014_sample3_C.raw,Condition3,3,62260904.07
sp|P00427|COX6_YEAST,26.07488364,JD_06232014_sample4_B.raw,Condition4,4,70684161.27
sp|P00427|COX6_YEAST,25.9831822,JD_06232014_sample4_C.raw,Condition4,4,66331103.9
sp|P00427|COX6_YEAST,26.16412024,JD_06232014_sample4-A.raw,Condition4,4,75194314.14
sp|P00431|CCPR_YEAST,25.08315672,JD_06232014_sample1_B.raw,Condition1,1,35545330.66
sp|P00431|CCPR_YEAST,24.85313965,JD_06232014_sample1_C.raw,Condition1,1,30306830.57
sp|P00431|CCPR_YEAST,25.1194801,JD_06232014_sample1-A.raw,Condition1,1,36451632.71
sp|P00431|CCPR_YEAST,25.04485694,JD_06232014_sample2_A.raw,Condition2,2,34614110.52
sp|P00431|CCPR_YEAST,25.05389096,JD_06232014_sample2_B.raw,Condition2,2,34831540.87
sp|P00431|CCPR_YEAST,24.9120019,JD_06232014_sample2_C.raw,Condition2,2,31568927.22
sp|P00431|CCPR_YEAST,25.00762134,JD_06232014_sample3_A.raw,Condition3,3,33732159.37
sp|P00431|CCPR_YEAST,24.89442258,JD_06232014_sample3_B.raw,Condition3,3,31186592.19
sp|P00431|CCPR_YEAST,24.86688486,JD_06232014_sample3_C.raw,Condition3,3,30596957.38
sp|P00431|CCPR_YEAST,24.97498272,JD_06232014_sample4_B.raw,Condition4,4,32977591.95
sp|P00431|CCPR_YEAST,24.89359961,JD_06232014_sample4_C.raw,Condition4,4,31168807.21
sp|P00431|CCPR_YEAST,25.0224627,JD_06232014_sample4-A.raw,Condition4,4,34080961.45
sp|P00445|SODC_YEAST,29.98154394,JD_06232014_sample1_B.raw,Condition1,1,1060093184
sp|P00445|SODC_YEAST,30.03258809,JD_06232014_sample1_C.raw,Condition1,1,1098271876
sp|P00445|SODC_YEAST,29.80642111,JD_06232014_sample1-A.raw,Condition1,1,938916167.8
sp|P00445|SODC_YEAST,29.86478076,JD_06232014_sample2_A.raw,Condition2,2,977675703.8
sp|P00445|SODC_YEAST,30.01119487,JD_06232014_sample2_B.raw,Condition2,2,1082106141
