"","genes","pathway","pv","bh"
"96","CM65315354","PathWay_23",0.958452893654669,0.998029843981833
"97","CO51563745","PathWay_18",0.978069247102196,0.998029843981833
"98","CO74966781","PathWay_4",0.808594927903939,0.987380721307236
"99","CP65491913","PathWay_1",0.156102794009071,0.906402240121479
"100","CP69558465","PathWay_25",0.751365067219257,0.987380721307236
"101","CP91217357","PathWay_8",0.46647928259282,0.973731147379828
"102","CP96163924","PathWay_10",0.513417041188343,0.973731147379828
"103","CR11934336","PathWay_14",0.373075164136083,0.970946353595147
"104","CR59815241","PathWay_17",0.618839911308668,0.973731147379828
"105","CR99428959","PathWay_1",0.661672737761887,0.978805825091549
"106","CS25929338","PathWay_1",0.785754774090409,0.987380721307236
"107","CS89121777","PathWay_24",0.320001037221267,0.957529685063206
"108","CT69246636","PathWay_8",0.746704054834105,0.987380721307236
"109","CU26981564","PathWay_10",0.992354127986764,0.998930476703642
"110","CU66599537","PathWay_6",0.260100717786705,0.957529685063206
"111","CV86788318","PathWay_7",0.652467855412663,0.973731147379828
"112","CV98716464","PathWay_11",0.265452863669763,0.957529685063206
"113","CW21121692","PathWay_14",0.534050015841179,0.973731147379828
"114","CW38166171","PathWay_2",0.719741442520045,0.985420162128434
"115","CX19813721","PathWay_18",0.357115073393252,0.960882582486145
"116","CX66235413","PathWay_5",0.0969352368105204,0.885167745022273
"117","CZ16182251","PathWay_9",0.122493915166403,0.885167745022273
"118","CZ43917376","PathWay_24",0.0431935419835681,0.885167745022273
"119","DA36813862","PathWay_13",0.927395484807936,0.995513378052901
"120","DA41554636","PathWay_4",0.917786118372254,0.995513378052901
"121","DC18545439","PathWay_22",0.133189463098834,0.891795034859259
"122","DE31529966","PathWay_22",0.587818365405701,0.973731147379828
"123","DE93889842","PathWay_25",0.120825752650809,0.885167745022273
"124","DF15875867","PathWay_16",0.269037716540703,0.957529685063206
"125","DF98329242","PathWay_4",0.765554824755609,0.987380721307236
"126","DG26155634","PathWay_1",0.559779372698592,0.973731147379828
"127","DG36386853","PathWay_23",0.336723508898016,0.960549355468138
"128","DG73548284","PathWay_7",0.0381125889474095,0.885167745022273
"129","DH15551729","PathWay_14",0.245331197724242,0.957529685063206
"130","DH43618383","PathWay_24",0.0280530302619825,0.885167745022273
"131","DI22475469","PathWay_15",0.32986839274968,0.957529685063206
"132","DI79148192","PathWay_23",0.210268452074433,0.957529685063206
"133","DI91144421","PathWay_14",0.738110700846779,0.986137011326797
"134","DJ14888651","PathWay_3",0.851101845763263,0.989966166139412
"135","DJ23324558","PathWay_6",0.0582684630924181,0.885167745022273
"136","DJ36319265","PathWay_22",0.63167337195792,0.973731147379828
"137","DK87977113","PathWay_3",0.270599136345557,0.957529685063206
"138","DL22562262","PathWay_17",0.711271436694408,0.985420162128434
"139","DL32931193","PathWay_9",0.165929780584566,0.937456387483421
"140","DL62161843","PathWay_24",0.802173921124942,0.987380721307236
"141","DM68732595","PathWay_3",0.966819676605992,0.998029843981833
"142","DN53519954","PathWay_8",0.571258356056804,0.973731147379828
"143","DN88295835","PathWay_10",0.618512234359179,0.973731147379828
"144","DN92328487","PathWay_21",0.5973715379603,0.973731147379828
"145","DN93838221","PathWay_21",1.14074312823217e-05,0.00285185782058042
"146","DO62984723","PathWay_2",0.835503356102686,0.989966166139412
"147","DO81585527","PathWay_8",0.108793494409968,0.885167745022273
"148","DP28969841","PathWay_17",0.221449025724794,0.957529685063206
"149","DP67348135","PathWay_20",0.244474428252795,0.957529685063206
"150","DQ45848773","PathWay_15",0.282278730220222,0.957529685063206
"151","DR73986117","PathWay_24",0.973383958887884,0.998029843981833
"152","DR96856427","PathWay_21",0.603693401137228,0.973731147379828
"153","DS46758327","PathWay_5",0.175941973283012,0.957529685063206
"154","DS63221262","PathWay_5",0.00970417665115028,0.74647512701156
"155","DS77872826","PathWay_9",0.996016425895239,0.998930476703642
"156","DW37633115","PathWay_14",0.96549080254921,0.998029843981833
"157","DW82789749","PathWay_25",0.385827262498508,0.970946353595147
"158","DX69424941","PathWay_14",0.902755559796643,0.995513378052901
"159","DY41663176","PathWay_3",0.50029187577975,0.973731147379828
"160","DY47441847","PathWay_16",0.618611643916116,0.973731147379828
"161","DY85861337","PathWay_23",0.626808795321549,0.973731147379828
"162","DY99934242","PathWay_18",0.2833942893381,0.957529685063206
"163","DZ21833146","PathWay_5",0.698798289339906,0.983198076746998
"164","DZ57859297","PathWay_14",0.180280834515567,0.957529685063206
"165","DZ74161743","PathWay_1",0.504859763164872,0.973731147379828
"166","EA21896396","PathWay_18",0.977152634030992,0.998029843981833
"167","EB82546754","PathWay_11",0.607060929996515,0.973731147379828
"168","EB85975658","PathWay_11",0.799592470111486,0.987380721307236
"169","EB91955439","PathWay_19",0.794031645845206,0.987380721307236
"170","EC78477168","PathWay_23",0.72131185844813,0.985420162128434
"171","ED13727538","PathWay_6",0.532149159463303,0.973731147379828
"172","ED37196366","PathWay_16",0.741636240349903,0.986218404720616
"173","ED42515611","PathWay_22",0.138356904323736,0.891795034859259
"174","EF45666254","PathWay_5",0.0332302013467365,0.885167745022273
"175","EG37325881","PathWay_8",0.152011620202158,0.905113872895662
"176","EG85659463","PathWay_3",0.410481043020147,0.973731147379828
"177","EJ55997311","PathWay_23",0.32938010612759,0.957529685063206
"178","EK74171152","PathWay_22",0.223802434151763,0.957529685063206
"179","EL21155625","PathWay_16",0.91271216520348,0.995513378052901
"180","EL55822982","PathWay_9",0.236041232982254,0.957529685063206
"181","EL81894744","PathWay_17",0.262460548933282,0.957529685063206
"182","EN61461392","PathWay_2",0.481243808178311,0.973731147379828
"183","EO26698419","PathWay_2",0.556518185426996,0.973731147379828
"184","EO42368653","PathWay_12",0.0970316250706918,0.885167745022273
"185","EO61488571","PathWay_8",0.936848328193826,0.998029843981833
"186","EO99239627","PathWay_1",0.84610821412606,0.989966166139412
"187","EP45594925","PathWay_14",0.702521539277084,0.983923724477709
"188","EP49159396","PathWay_2",0.634921982432115,0.973731147379828
"189","EQ26634579","PathWay_9",0.125498244617966,0.885167745022273
"190","ET17787148","PathWay_4",0.580622258215408,0.973731147379828
"191","ET73712533","PathWay_22",0.412990808311738,0.973731147379828
"192","EU32238971","PathWay_1",0.35009202937437,0.960882582486145
"193","EU99749257","PathWay_20",0.649754835073916,0.973731147379828
"194","EX45187668","PathWay_2",0.338909449195955,0.960549355468138
"195","EX55817137","PathWay_18",0.95193168476713,0.998029843981833
"196","EX66373966","PathWay_5",0.88513088812203,0.994973021175806
"197","EY21254496","PathWay_1",0.284389868264657,0.957529685063206
"198","EY81413676","PathWay_22",0.923589096001325,0.995513378052901
"199","EZ98622156","PathWay_22",0.610037401905094,0.973731147379828
"200","FA81997125","PathWay_20",0.122478386243985,0.885167745022273
"201","FC67757167","PathWay_20",0.233926930985289,0.957529685063206
"202","FD62588631","PathWay_17",0.405855575802771,0.970946353595147
"203","FD68875421","PathWay_18",0.512495826073263,0.973731147379828
"204","FD68946442","PathWay_4",0.0633459206969978,0.885167745022273
"205","FE46186778","PathWay_16",0.0985725984731131,0.885167745022273
"206","FE93939323","PathWay_16",0.232316676979148,0.957529685063206
"207","FH54745826","PathWay_13",0.481712381363223,0.973731147379828
"208","FH78471681","PathWay_12",0.442370473483437,0.973731147379828
"209","FH96159951","PathWay_9",0.840028628812565,0.989966166139412
"210","FI63631291","PathWay_14",0.0454043837324254,0.885167745022273
"211","FJ57446645","PathWay_4",0.181765077644765,0.957529685063206
"212","FJ91752822","PathWay_20",0.265746420296944,0.957529685063206
"213","FK17864458","PathWay_17",0.588583057015249,0.973731147379828
"214","FK44145451","PathWay_5",0.743713476986382,0.987380721307236
"215","FK94468461","PathWay_13",0.837805421773036,0.989966166139412
"216","FL69426532","PathWay_5",0.138500200652974,0.891795034859259
"217","FL72235113","PathWay_12",0.106375007343657,0.885167745022273
"218","FL93543419","PathWay_2",0.689068702489455,0.981579348275576
"219","FM55397519","PathWay_20",0.356532323014689,0.960882582486145
"220","FM67861799","PathWay_9",0.638219719656568,0.973731147379828
"221","FM96842215","PathWay_4",0.297210177294683,0.957529685063206
"222","FN53496515","PathWay_24",0.542682840127722,0.973731147379828
"223","FN84112185","PathWay_18",0.0865137048912387,0.885167745022273
"224","FO54252353","PathWay_12",0.360886049346971,0.960882582486145
"225","FO88991615","PathWay_21",0.319684347584315,0.957529685063206
"226","FO96694572","PathWay_14",0.79834504218117,0.987380721307236
"227","FP35247315","PathWay_24",0.736745187561554,0.986137011326797
"228","FQ37318645","PathWay_25",0.602366873439675,0.973731147379828
"229","FQ54725444","PathWay_19",0.847990892245214,0.989966166139412
"230","FR55272844","PathWay_12",0.653373599891865,0.973731147379828
"231","FR82357664","PathWay_9",0.208815667570792,0.957529685063206
"232","FS77326629","PathWay_25",0.884578175533602,0.994973021175806
"233","FT24126621","PathWay_8",0.471994634564711,0.973731147379828
"234","FT44897971","PathWay_20",0.0804167734617058,0.885167745022273
"235","FU52961579","PathWay_16",0.227488770641978,0.957529685063206
"236","FU57957685","PathWay_21",0.070609271090163,0.885167745022273
"237","FV15768691","PathWay_6",0.836479362605827,0.989966166139412
"238","FV88827535","PathWay_7",0.367981615988303,0.968372673653429
"239","FW12371696","PathWay_10",0.241526807989573,0.957529685063206
"240","FW25143465","PathWay_2",0.926746771640357,0.995513378052901
"241","FW66692953","PathWay_8",0.152964244519367,0.905113872895662
"242","FW78828847","PathWay_21",0.572353406065741,0.973731147379828
"243","FX21826594","PathWay_13",0.721056423341534,0.985420162128434
"244","FZ29114894","PathWay_12",0.276232310006839,0.957529685063206
"245","FZ55263392","PathWay_19",0.64337474586691,0.973731147379828
"246","FZ57213466","PathWay_14",0.038872135335457,0.885167745022273
"247","GA79751937","PathWay_18",0.591640063251231,0.973731147379828
"248","GB49141926","PathWay_5",0.190388503185838,0.957529685063206
"249","GB97626889","PathWay_17",0.473114411798403,0.973731147379828
"250","GC94397328","PathWay_2",0.41655149565224,0.973731147379828
"251","GD99514276","PathWay_14",0.0110441845251579,0.788870323225561
"252","GE22158794","PathWay_25",0.799534889484854,0.987380721307236
"253","GE73338224","PathWay_25",0.537739921938595,0.973731147379828
"254","GF12486181","PathWay_20",0.0207760979213306,0.885167745022273
"255","GF12583744","PathWay_19",0.142876794096592,0.891795034859259
"256","GF25615717","PathWay_8",0.367633351923738,0.968372673653429
"257","GF49678634","PathWay_17",0.913137439890091,0.995513378052901
"258","GH11949635","PathWay_24",0.649915594301871,0.973731147379828
"259","GJ35573883","PathWay_12",0.613971297012326,0.973731147379828
"260","GK32194723","PathWay_22",0.648059658707637,0.973731147379828
"261","GK75745249","PathWay_8",0.252892797030365,0.957529685063206
"262","GL44674565","PathWay_12",0.679590722735744,0.980415827767721
"263","GL64328516","PathWay_24",0.799085322324689,0.987380721307236
"264","GM12899895","PathWay_19",0.3098655999683,0.957529685063206
"265","GM61585132","PathWay_10",0.803953290215996,0.987380721307236
"266","GN69335776","PathWay_15",0.503446328846102,0.973731147379828
"267","GN85613326","PathWay_6",0.778403581727427,0.987380721307236
"268","GN96233625","PathWay_24",0.243033569730706,0.957529685063206
"269","GO92287828","PathWay_19",0.996932615750235,0.998930476703642
"270","GP72394893","PathWay_14",0.324519272287471,0.957529685063206
"271","GP73972137","PathWay_17",0.852709122160777,0.989966166139412
"272","GQ86263184","PathWay_19",0.273838198232563,0.957529685063206
"273","GR44577728","PathWay_11",0.337222224133824,0.960549355468138
"274","GS82958232","PathWay_5",0.863000121803343,0.992375676286582
"275","GT83996523","PathWay_10",0.248540441478841,0.957529685063206
"276","GU39852382","PathWay_4",0.97389649959591,0.998029843981833
"277","GV27497417","PathWay_8",0.068057145099117,0.885167745022273
"278","GV67175233","PathWay_10",0.330186840723025,0.957529685063206
"279","GW37524192","PathWay_21",0.549513324149403,0.973731147379828
"280","GW44126519","PathWay_8",0.975319516044736,0.998029843981833
"281","GW66233246","PathWay_20",0.305232609799222,0.957529685063206
"282","GX68889425","PathWay_8",0.571879058463991,0.973731147379828
"283","GX79365666","PathWay_1",0.122877647492642,0.885167745022273
"284","GY76443846","PathWay_22",0.788900225989293,0.987380721307236
"285","GY79317452","PathWay_21",0.867610845441185,0.992375676286582
"286","GZ79947324","PathWay_3",0.376897461520285,0.970946353595147
"287","GZ82416296","PathWay_6",0.989414368436837,0.998930476703642
"288","HB14866644","PathWay_1",0.643107940781757,0.973731147379828
"289","HC34288292","PathWay_16",0.0038767416544008,0.4307490727112
"290","HC59175412","PathWay_3",0.914152395831051,0.995513378052901
"291","HD85244731","PathWay_13",0.632005762943195,0.973731147379828
"292","HE38553978","PathWay_25",0.0708814715484819,0.885167745022273
"293","HE39223988","PathWay_12",0.560021607773779,0.973731147379828
"294","HE52889563","PathWay_11",0.0771014315472385,0.885167745022273
"295","HF13836419","PathWay_4",0.404512613195964,0.970946353595147
"296","HF22745719","PathWay_17",0.580710005361685,0.973731147379828
"297","HF73893259","PathWay_3",0.986133394200901,0.998861848471631
"298","HF79256167","PathWay_22",0.973509683756655,0.998029843981833
"299","HG13313882","PathWay_5",0.304764976406695,0.957529685063206
"300","HG29688736","PathWay_15",0.693566283844877,0.982687646795612
"301","HG38755714","PathWay_24",0.871649963086549,0.992375676286582
"302","HG66334787","PathWay_1",0.136604055538717,0.891795034859259
"303","HI29344187","PathWay_1",0.17824695226569,0.957529685063206
"304","HI29344359","PathWay_14",0.692922702359201,0.982687646795612
"305","HK12865355","PathWay_20",0.623209556305134,0.973731147379828
"306","HK58991355","PathWay_8",0.0675030894694552,0.885167745022273
"307","HK93286419","PathWay_9",0.854736768511291,0.989966166139412
"308","HL57111627","PathWay_10",0.00286879970891916,0.358599963614894
"309","HM98197974","PathWay_3",0.88051789309778,0.994973021175806
"310","HN95335686","PathWay_8",0.331285296385097,0.957529685063206
"311","HO11494315","PathWay_18",0.494053423894752,0.973731147379828
"312","HO16785566","PathWay_16",0.770016813419669,0.987380721307236
"313","HO72374611","PathWay_15",0.61116335948176,0.973731147379828
"314","HQ24149288","PathWay_5",0.627605391919362,0.973731147379828
"315","HQ72396753","PathWay_18",0.922628641177477,0.995513378052901
"316","HR29983752","PathWay_4",0.236911134441162,0.957529685063206
"317","HS44264158","PathWay_3",0.753568751924476,0.987380721307236
"318","HT43659347","PathWay_1",0.64659663294209,0.973731147379828
"319","HT85823465","PathWay_20",0.721696898441166,0.985420162128434
"320","HU27793591","PathWay_25",0.422568469487592,0.973731147379828
"321","HV68285546","PathWay_25",0.264499422876351,0.957529685063206
"322","HV93913918","PathWay_19",0.956384206075535,0.998029843981833
"323","HW11887115","PathWay_19",0.0888100044332308,0.885167745022273
"324","HW69997611","PathWay_24",0.44079006008792,0.973731147379828
"325","HX34787256","PathWay_3",0.877126557045857,0.994474554473761
"326","HX84493734","PathWay_16",0.465294971098647,0.973731147379828
"327","IA57766218","PathWay_11",0.126428337874027,0.885167745022273
"328","IA62877366","PathWay_2",0.987874368138443,0.998861848471631
"329","ID32817319","PathWay_8",0.528001142131032,0.973731147379828
"330","ID94156713","PathWay_18",0.397951843003597,0.970946353595147
"331","IE15421826","PathWay_2",0.255571607026587,0.957529685063206
"332","IE35682463","PathWay_1",0.596528344213633,0.973731147379828
"333","IF66385318","PathWay_21",0.690452324323157,0.982151243702925
"334","IF67517864","PathWay_2",0.792552817581283,0.987380721307236
"335","IF93151217","PathWay_5",0.902872888135979,0.995513378052901
"336","IG42545892","PathWay_21",0.993693322749214,0.998930476703642
"337","IG68239861","PathWay_2",0.347888496227484,0.960882582486145
"338","IH63987714","PathWay_7",0.288827170170047,0.957529685063206
"339","IJ54999544","PathWay_20",0.395677898831808,0.970946353595147
"340","IK22335734","PathWay_5",0.140831834190941,0.891795034859259
"341","IK85643127","PathWay_10",0.562768777642327,0.973731147379828
"342","IL12293923","PathWay_12",0.719824807321963,0.985420162128434
"343","IL86478423","PathWay_20",0.566016274128382,0.973731147379828
"344","IO56674826","PathWay_11",0.738308295605542,0.986137011326797
"345","IP11511446","PathWay_4",0.296354491913584,0.957529685063206
"346","IP17338862","PathWay_17",0.184551954838735,0.957529685063206
"347","IP55613493","PathWay_23",0.855282174948931,0.989966166139412
"348","IP61796533","PathWay_25",0.46454408073766,0.973731147379828
"349","IP63412255","PathWay_20",0.470451117241541,0.973731147379828
"350","IQ28767514","PathWay_7",9.45800448497633e-05,0.0189160089699527
"351","IQ29455412","PathWay_10",0.994974448070841,0.998930476703642
"352","IQ52482417","PathWay_21",0.208704732435352,0.957529685063206
"353","IQ71776396","PathWay_11",0.400105526018356,0.970946353595147
"354","IQ85832227","PathWay_14",0.460656421062176,0.973731147379828
"355","IT55988591","PathWay_17",0.0584760182102525,0.885167745022273
"356","IT73453671","PathWay_10",0.247885461378139,0.957529685063206
"357","IU86382394","PathWay_13",0.971260227283753,0.998029843981833
"358","IV26961361","PathWay_18",0.0504125669199941,0.885167745022273
"359","IV41565283","PathWay_2",0.641582971510108,0.973731147379828
"360","IV79513846","PathWay_24",0.232564794088127,0.957529685063206
"361","IX38126316","PathWay_3",0.639383123315831,0.973731147379828
"362","IX46914917","PathWay_6",0.623661717640051,0.973731147379828
"363","IX53386189","PathWay_6",0.96845433146012,0.998029843981833
"364","IY12612123","PathWay_21",0.201774109603242,0.957529685063206
"365","IZ34264739","PathWay_18",0.449695001019743,0.973731147379828
"366","IZ36133946","PathWay_7",0.141997323382479,0.891795034859259
"367","IZ78595515","PathWay_8",0.618637791141384,0.973731147379828
"368","JA11629864","PathWay_16",0.212154395576039,0.957529685063206
"369","JA28745471","PathWay_19",0.140737886046145,0.891795034859259
"370","JA53496982","PathWay_4",0.814588099687189,0.987880811792784
"371","JB36592524","PathWay_23",0.444593457707037,0.973731147379828
"372","JB92378955","PathWay_23",0.626372954957632,0.973731147379828
"373","JC13914567","PathWay_6",0.763248171843469,0.987380721307236
"374","JC51183226","PathWay_7",0.982578846961709,0.998084820388158
"375","JC94397964","PathWay_18",0.699707266765848,0.983198076746998
"376","JD19711297","PathWay_19",0.870253403965654,0.992375676286582
"377","JE78877292","PathWay_2",0.0846270933250955,0.885167745022273
"378","JG67199884","PathWay_10",0.437444613810056,0.973731147379828
"379","JI32329424","PathWay_24",0.348249306532026,0.960882582486145
"380","JI44199918","PathWay_5",0.632178845146788,0.973731147379828
"381","JI95965933","PathWay_4",0.965820557010981,0.998029843981833
"382","JK17254816","PathWay_12",0.759981569204213,0.987380721307236
"383","JK48266854","PathWay_3",0.612941985326063,0.973731147379828
"384","JL59924181","PathWay_16",0.096993837529739,0.885167745022273
"385","JM68924248","PathWay_4",0.672536876253349,0.980374455179809
"386","JN81219911","PathWay_21",0.0923791554785635,0.885167745022273
"387","JO44736998","PathWay_19",0.287746265260071,0.957529685063206
"388","JO61725172","PathWay_24",0.512481884572882,0.973731147379828
"389","JO99891711","PathWay_5",0.94296643897621,0.998029843981833
"390","JP36847579","PathWay_25",0.62968082826653,0.973731147379828
"391","JP44441859","PathWay_3",0.0357899017120857,0.885167745022273
"392","JP89675576","PathWay_9",0.967085759100379,0.998029843981833
"393","JQ39137564","PathWay_9",0.390328499515208,0.970946353595147
"394","JQ75296493","PathWay_2",0.603038126330328,0.973731147379828
"395","JQ89231942","PathWay_17",0.75098096503475,0.987380721307236
"396","JR25245649","PathWay_16",0.391853355891858,0.970946353595147
"397","JR46751861","PathWay_18",0.230092067760028,0.957529685063206
"398","JS54366643","PathWay_17",0.416461991787406,0.973731147379828
"399","JU36549186","PathWay_2",0.596544706090382,0.973731147379828
"400","JU57725494","PathWay_3",0.0295706397091442,0.885167745022273
"401","JV81846951","PathWay_14",0.96822492204597,0.998029843981833
"402","JY35466214","PathWay_9",0.202832647918104,0.957529685063206
"403","JY39957398","PathWay_5",0.116003400946993,0.885167745022273
"404","JZ46267887","PathWay_20",0.460642020604353,0.973731147379828
"405","JZ48434765","PathWay_3",0.710089296059111,0.985420162128434
"406","KD83392779","PathWay_8",0.294201954242496,0.957529685063206
"407","KE43115457","PathWay_12",0.749897190669439,0.987380721307236
"408","KE99354949","PathWay_22",0.713114350603378,0.985420162128434
"409","KF48929576","PathWay_8",0.967747208181375,0.998029843981833
"410","KG21829364","PathWay_14",0.736630117955856,0.986137011326797
"411","KG54633764","PathWay_2",0.542812874394431,0.973731147379828
"412","KH16813221","PathWay_11",0.638666670965664,0.973731147379828
"413","KI51935789","PathWay_18",0.967516338656951,0.998029843981833
"414","KI55754457","PathWay_18",0.146254385716918,0.891795034859259
"415","KJ83394933","PathWay_17",0.875743041693397,0.994474554473761
"416","KM33941895","PathWay_7",0.632763610305334,0.973731147379828
"417","KN56516692","PathWay_1",0.951690957272185,0.998029843981833
"418","KO95117631","PathWay_4",0.817005902463016,0.98908379415775
"419","KP93848968","PathWay_17",0.349870770222331,0.960882582486145
"420","KQ25132835","PathWay_15",0.0425525397241252,0.885167745022273
"421","KQ51829926","PathWay_18",0.759245428442479,0.987380721307236
"422","KR24266244","PathWay_16",0.575452725224822,0.973731147379828
"423","KR52899562","PathWay_18",0.479077758865243,0.973731147379828
"424","KS71268945","PathWay_22",0.395680718435143,0.970946353595147
"425","KS77959669","PathWay_10",0.719399864312007,0.985420162128434
"426","KT94412932","PathWay_13",0.361291851014791,0.960882582486145
"427","KU29665912","PathWay_18",0.67093634690773,0.980374455179809
"428","KW25753117","PathWay_17",0.80597086684057,0.987380721307236
"429","KW87326178","PathWay_20",0.275915197272536,0.957529685063206
"430","KX37464985","PathWay_3",0.96447330290434,0.998029843981833
"431","KX61933814","PathWay_23",0.0349922839400722,0.885167745022273
"432","KX65516772","PathWay_9",0.0653060224002762,0.885167745022273
